Document,Category,Text
joint_ethics_regulation,False Reporting and Accurate Reporting,"Reporting Requirements. DAEOs must prepare and submit semiannual reports to OGE
documenting all travel expenses over $250 accepted from non-Federal sources in accordance
with 31 U.S.C. § 1353. These semiannual reports are due to OGE by May 31 and November 30
of each year."
joint_ethics_regulation,False Reporting and Accurate Reporting,"DAEO Agency Reporting Data. For purposes of OGE Annual Agency Ethics
Program Questionnaires, Program Reviews, or any other similar requirements, financial
disclosure compliance data for General/Flag officers assigned to JDAs will be reported by the
Military Services. JDA Ethics Officials will ensure that General/Flag officer reports are timely
reviewed and certified and will promptly respond to requests for status and other information
from Military Service Ethics Officials."
law_of_war_2023,False Reporting and Accurate Reporting,"4.24.1.2 Combatants Performing Journalistic Work. Although generally
journalists are civilians, journalists are not precluded from being considered combatants, whether
privileged or unprivileged, if they otherwise acquire such status. For example, members of the
armed forces sometimes serve as journalists or in some other public affairs capacity, and these
persons have the same status as other privileged combatants.484 Non-State armed groups
sometimes use their members485 for propaganda or other media activities, and such personnel are
not precluded from being considered unprivileged belligerents.486 In addition, although engaging
in journalism would not be a basis to consider a person an unprivileged belligerent, an
unprivileged belligerent would not be precluded from being considered as such because he or she
works as a journalist."
law_of_war_2023,False Reporting and Accurate Reporting,"4.24.2.1 Journalists – Risks in Areas of Military Operations. Journalists who
enter areas of military operations assume a significant risk that they could be injured or killed
incidental to an enemy attack or from other dangers.488 Unfortunately, journalists have
sometimes been killed while reporting in close proximity to combat operations.489 To minimize
the risk of mistakenly being made the object of attack, journalists often seek to distinguish
themselves from military forces.490 Where possible, efforts should be made to distinguish
between the activities of journalists and the activities of enemy forces, so that journalists’
activities (e.g., meetings or other contacts with enemy personnel for journalistic purposes) do not
result in a mistaken conclusion that a journalist is part of enemy forces."
joint_ethics_regulation,False Reporting and Accurate Reporting,"Required Referrals. The Head of the DoD Component must ensure that the name of any
individual that they have reasonable cause to believe has willfully failed to file a report or has
willfully falsified or willfully failed to file information required to be reported is referred to the
Attorney General, with a copy of such referral to the appropriate Inspector General (IG) and the
SOCO Director. (See 5 U.S.C. app. § 104 and 5 C.F.R. § 2634.701)."
law_of_war_2023,False Reporting and Accurate Reporting,"4.24.1 Status of Journalists – Generally Civilian. In general, journalists are protected as
civilians;476 i.e., engaging in journalism does not constitute taking a direct part in hostilities such
that such a person would be deprived of protection from being made the object of attack.477
Journalists do not form a distinct class of persons under the law of war, but instead
receive protection through the general protections afforded civilians.478 Thus, in general, the
rights, duties, and liabilities applicable to civilians also apply to journalists.479
Although journalism is regarded as a civilian activity, the fact that a person performs
such work does not preclude that person from otherwise acquiring a different status under the
law of war, such as the status of persons authorized to accompany the armed forces or of
combatants."
law_of_war_2023,False Reporting and Accurate Reporting,"Registration of Detainees. The detaining authority should register detainees
promptly.111 Detainees should be registered within a reasonable time, taking into account other
essential tasks and resource limitations that may affect the detaining authority’s ability to register
detainees.112
Registration of detainees assists in ensuring that all detainees can be accounted for and
that allegations of illegal detention can be addressed.113 DoD practice has been to register
detainees with the National Detainee Reporting Center that is also used to account for the
detention of POWs under the GPW and protected persons under the GC.114"
law_of_war_2023,False Reporting and Accurate Reporting,"Destruction of Captured Enemy Merchant Vessels. When military
circumstances preclude sending or taking in such vessel or aircraft for adjudication as an enemy
prize, it may be destroyed after all possible measures are taken to provide for the safety of
passengers and crew.86 Documents and papers relating to the prize should be safeguarded and, if
practicable, the personal effects of passengers should be saved.87 Every case of destruction of a
captured enemy prize should be reported promptly to higher command.88"
law_of_war_2023,False Reporting and Accurate Reporting,"18.4.3 Duty to Investigate Reports of Alleged Law of War Violations. Commanders
have a duty to investigate reports of alleged law of war violations committed by persons under
their command or against persons to whom they have a legal duty to protect.41"
law_of_war_2023,False Reporting and Accurate Reporting,"18.13 NATIONAL INVESTIGATIONS OF ALLEGED VIOLATIONS OF THE LAW OF WAR
The duties to implement and enforce the law of war also imply duties to investigate
reports of alleged violations of the law of war.138 In addition to taking measures to meet the
requirements of DoD policy, commanders may also take other measures they deem appropriate
to ensure appropriate investigation and reporting of alleged violations of the law of war within
their command.139"
law_of_war_2023,Operational Moral Reasoning,"18.22.4 Acting Pursuant to Orders Does Not Relieve a Person of Responsibility. The fact
that a person acted pursuant to orders of his or her Government or of a superior does not relieve
that person from responsibility under international law, provided it was possible in fact for that
person to make a moral choice.322 This principle has been reflected in the statutes of
international criminal tribunals.323 It may also be understood as part of a broader principle that
military personnel cannot justify committing unlawful acts by producing the order of their
superior.324"
law_of_war_2023,Operational Moral Reasoning,"1.6.6 Code of Conduct for U.S. Armed Forces. The Code of Conduct is a moral guide for
U.S. forces to govern their conduct in resisting capture and their actions in the event they fall
into hostile hands.111 The Code of Conduct was developed after the Korean War and was
promulgated by Executive Order.112 The Code of Conduct is consistent with the law of war
obligations of the United States, including obligations in the GPW.113"
law_of_war_2023,Operational Moral Reasoning,"9.39 CODE OF CONDUCT FOR U.S. ARMED FORCES
The Code of Conduct is a moral code designed to provide U.S. military personnel with a
standard of conduct.925 Although designed for situations in which members of the U.S. armed
forces may be held as POWs, the spirit and intent of the Code apply to service members
subjected to other types of hostile detention, such as hostage scenarios.926"
law_of_war_2023,Operational Moral Reasoning,"Code of Conduct – Article IV.
If I become a prisoner of war, I will keep faith with my fellow prisoners. I will give
no information [n]or take part in any action which might be harmful to my
comrades. If I am senior, I will take command. If not, I will obey the lawful orders
of those appointed over me and will back them up in every way."
rules_of_engagement,Operational Moral Reasoning,"b. The following DoD organizations have been approved, in coordination with the Office of
Government Ethics, as additional DAEO agencies, with the organization’s General Counsel
serving as the DAEO:
(1) Armed Services Board of Contract Appeals.
(2) Department of the Army
(3) Department of the Navy
(4) Department of the Air Force
(5) Defense Commissary Agency
(6) Defense Contract Audit Agency
(7) Defense Finance and Accounting Service
(8) Defense Information Systems Agency
(9) Defense Intelligence Agency
(10) Defense Logistics Agency
9
(11) Defense Counterintelligence and Security Agency
(12) Defense Threat Reduction Agency
(13) National Geospatial-Intelligence Agency
(14) National Security Agency
(15) Office of Inspector General of the Department of Defense
(16) Uniformed Services University of the Health Sciences"
law_of_war_2023,Operational Moral Reasoning,"The case of distress.—It was agreed by the Commission of Jurists of 1922-23 that the obligation to
prevent the entry of belligerent military aircraft was to be regarded as being subject to the neutral State’s moral duty
to grant succor to airmen in distress"
law_of_war_2023,Operational Moral Reasoning,"Actions in Self-Defense. Upon commission of a hostile act or demonstration of hostile intent, U.S.
forces may use all necessary means available and all appropriate actions in self-defense. If time and circumstances
permit, forces should attempt to deescalate the situation, but de-escalation is not required. When U.S. personnel
respond to a hostile act or demonstration of hostile intent, the force used in self-defense should be sufficient to
respond decisively to the hostile act / hostile intent. The means and intensity of the force used may exceed that of
the hostile act or hostile intent, but the nature, duration, and scope of force should not exceed what is required to
respond decisively."
law_of_war_2023,Operational Moral Reasoning,"10.6.2.1 Humane Treatment During Interrogation. Interrogation must be carried
out in a manner consistent with the requirements for humane treatment, including the prohibition
against acts of violence or intimidation, and insults.98
No physical or moral coercion shall be exercised against protected persons to obtain
information from them or from third parties."
law_of_war_2023,Operational Moral Reasoning,"The essence of ethical conduct is a commitment to act as good stewards of the trust,
confidence, and resources provided by the American people and their democratically-elected
representatives in Congress. DoD leaders at every level are responsible for upholding the
highest standards of ethical conduct through personal example and appropriate corrective action
when personnel fail to meet these standards."
law_of_war_2023,Operational Moral Reasoning,"17.10.1 General Protection and Care of Children. Children shall be provided with the
care and aid they require.138
Children shall receive an education, including religious and moral education, in keeping
with the wishes of their parents, or in the absence of parents, of those responsible for their
care.139
All appropriate steps shall be taken to facilitate the reunion of families"
