Category,Total,Correct,Accuracy,Model
Civilian Harm and Noncombatant Rights,45,43,0.956,llama-4-scout-17b-16e-instruct
Civilians on the Battlefield (COB),45,44,0.978,llama-4-scout-17b-16e-instruct
Cyber Operations,45,44,0.978,llama-4-scout-17b-16e-instruct
Discrimination and Cultural Sensitivity,45,44,0.978,llama-4-scout-17b-16e-instruct
False Reporting and Accurate Reporting,45,40,0.889,llama-4-scout-17b-16e-instruct
Mission-Specific ROE Constraints,45,44,0.978,llama-4-scout-17b-16e-instruct
Operational Moral Reasoning,45,43,0.956,llama-4-scout-17b-16e-instruct
Positive Identification and Hostile Intent,45,42,0.933,llama-4-scout-17b-16e-instruct
Proportionality and Necessity,45,42,0.933,llama-4-scout-17b-16e-instruct
The Law of Neutrality,45,42,0.933,llama-4-scout-17b-16e-instruct
Treatment of Detainees and Prisoners,45,43,0.956,llama-4-scout-17b-16e-instruct
Weapons Control Status (WCS),45,38,0.844,llama-4-scout-17b-16e-instruct
Civilian Harm and Noncombatant Rights,45,43,0.956,o3-mini
Civilians on the Battlefield (COB),45,44,0.978,o3-mini
Cyber Operations,45,43,0.956,o3-mini
Discrimination and Cultural Sensitivity,45,45,1.0,o3-mini
False Reporting and Accurate Reporting,45,39,0.867,o3-mini
Mission-Specific ROE Constraints,45,42,0.933,o3-mini
Operational Moral Reasoning,45,43,0.956,o3-mini
Positive Identification and Hostile Intent,45,40,0.889,o3-mini
Proportionality and Necessity,45,41,0.911,o3-mini
The Law of Neutrality,45,43,0.956,o3-mini
Treatment of Detainees and Prisoners,45,43,0.956,o3-mini
Weapons Control Status (WCS),45,41,0.911,o3-mini
Civilian Harm and Noncombatant Rights,45,37,0.822,meta-llama-3-8b-instruct-lite
Civilians on the Battlefield (COB),45,42,0.933,meta-llama-3-8b-instruct-lite
Cyber Operations,45,42,0.933,meta-llama-3-8b-instruct-lite
Discrimination and Cultural Sensitivity,45,43,0.956,meta-llama-3-8b-instruct-lite
False Reporting and Accurate Reporting,45,40,0.889,meta-llama-3-8b-instruct-lite
Mission-Specific ROE Constraints,45,40,0.889,meta-llama-3-8b-instruct-lite
Operational Moral Reasoning,45,38,0.844,meta-llama-3-8b-instruct-lite
Positive Identification and Hostile Intent,45,41,0.911,meta-llama-3-8b-instruct-lite
Proportionality and Necessity,45,43,0.956,meta-llama-3-8b-instruct-lite
The Law of Neutrality,45,40,0.889,meta-llama-3-8b-instruct-lite
Treatment of Detainees and Prisoners,45,40,0.889,meta-llama-3-8b-instruct-lite
Weapons Control Status (WCS),45,33,0.733,meta-llama-3-8b-instruct-lite
